Title	Initial Message	Target Skill IDs	id
Inexplicable Emotional Onslaught	I felt a sudden urge to cry today but I honestly think it's unjustified because I cannot think of anything that is immediately wrong. I'm not sure if I feel sad or angry or something else and it's daunting because I don't know what's happenning to me.	['ER1', 'ER9', 'M3']	651ff8be-0649-44e0-bb5b-7464ffe09d3c
Suspected Infidelity Angst	My partner said he was going to go out on a work dinner but I just know he's with his assistant cheating behind my back. It's been 2 hours and he isn't back yet!	['ER2']	cfdb7ff9-7d2f-4704-abb3-fe1a35b2e84c
Grad School Grind	My friends are all getting married and buying houses, but I'm focused on completing my grad school program, so when I talk to them, I feel like I'm falling behind in life.	['ER3']	5ba9da41-0124-4bd2-9bd7-f6baa6ed1d0d
Mentor-Mentee Misfire	I just joined a new company two months ago, and was assigned someone to mentor me during my ramp up process. I still need to go to her to ask questions, and recently she told me that she was hoping I would be done onboarding right now. I don't feel like I can go to her and ask her questions anymore but I'm not sure what else to do.	['ER4']	64700d1b-909f-4a19-b6be-71ccd3edb9b5
Yuletide Blues	All of my friends are going home for Christmas and I'm staying behind. I'm scared that I'll feel really lonely and spiral into a depressive episode.	['ER5', 'ER7', 'DT4']	130144b7-8610-4414-aa70-1cc7321a31be
Camping Clueless	My sister in law invited us to a camping trip in August. I've never been an outdoorsy person, never been camping, and generally feel helpless when I go outside. I'm afraid I'm gonna look ridiculous because I won't know how to do anything.	['ER6']	c4c6c522-f278-4762-bd47-b6e40b5f0c0a
Party Panic	I'm dreading the office Christmas party, I think about it and I immediately start feeling palpitations and anxiety. I want to feel part of my team but I have such a hard time with these social situations.	['ER7']	8dcdfcd4-7ffe-4f3f-8b13-adbe6a32b51a
Dissed at Dinner	My partner and I went out to dinner with friends and on the way there, he made fun of something I said. This really upset me and I mentioned it right away, to which he said that I was making a big deal out of it. We got into a fight and were noticeably upset with each other in front of our friends and I could sense everyone was uncomfortable.	['M1', 'IE1', 'ER9']	793c9292-ab58-416a-9bf9-9ac243d3db55
Heartbreak's Heavy Toll	I'm going through a break up from a years-long relationship. It's been a few weeks but it's still crippling. I struggle to get to work, let alone eat or exercise. I just don't see the end to this sensation that I've lost something really important.	['ER9', 'ER10', 'DT6']	b730e75a-71a9-41e0-9e72-e4788ac3a92e
Teen Dating Debate	My 15-year-old daughter wants to start dating but I want her to get into a good college, so I've told her she needs to focus on her studies instead. She says I'm not listening to her and that she's doing well enough at school. I told her I really cannot reason with her and she's been hiding away in her room ever since.	['DT1']	f6740e59-5c53-447d-9c2e-6d476007c3f9
Mirrors and Mealtime Struggles	I've been recovering from an eating disorder but I still have the urge to skip meals whenever I look at myself in the mirror.	['DT2']	e05f65f2-37af-4ea8-a798-6fd4a22e8639
Destructive After Disagreements	I've been getting on a lot of fights with my best friend recently and it makes me spiral out of control. I always end up feeling a strong urge to hurt myself because it's the only way I can feel in control of what's happening in the moment.	['DT3', 'DT4', 'DT5', 'DT6']	4d4c6b86-0843-46d7-8834-a0649c3f3928
Betrayal by Proximity	My partner is friends with someone who has hurt me deeply in the past but they are not willing to let go of that friendship. This makes me feel like my partner doesn't care about the things that hurt me. How do I deal with this?	['DT7']	28d1d848-eb08-4cab-8ad8-6192e67d4c4e
Breakup Bewilderment	My girlfriend of 3 years recently broke up with me and I really don't understand why. I feel like I was doing everything that I could to make the relationship work.	['DT8']	5326bd66-fbd3-47d8-b65e-4bbc60fa41c8
Pre-Wedding Friendship Fears	My friend is getting married soon and I know this is selfish but I'm worried about how our relationship will change. I almost wish I could talk him out of it.	['DT9']	3175caaa-3e8d-49b8-9744-b35ac4f8a150
In-Law Invasion	My in-laws will move in with us for the next two months to help us take care of our newborn I appreciate their help but I really cannot stand them and their habits. It feels really invasive.	['DT10']	f7f986ba-c319-4383-9e80-2cb298483db2
Dreading the Dayjob	I wake up feeling irritable almost every day because I dread going back to my day job. How can I deal with this?	['DT10']	cf512922-f118-48d5-8197-de93ea4f0bc5
Danger with Flirting	I don't want to cheat on my partner but whenever I see someone attractive when I go out with my friends, I feel the urge to be flirt with them.	['DT11']	871bf404-9e01-4a8a-9a55-b1ce1c4fda77
Tiktok Detox	I've been trying to reduce the time I spent on Tiktok because I notice it makes me feel more miserable because I compare my life to others'. But I tend to be able to stop using it for 1-3 days and then I go back to it.	['DT12', 'DT14']	47022c08-2e07-4048-9021-b31f88f203a6
Conquering Carbophobia	I used to struggle with an eating disorder where I would avoid eating carbs completely. I have been in treatment for 6 months and my urges are now more spaced out. I think I'm completely recovered now. Am I right?	['DT13']	cd72fa63-8ed3-4ea9-95b5-8faa5772d7be
Pulled into Pubbing	I've been trying to stop drinking but it's hard because whenever I go out with my friends, they always want to go out to drink (even if it wasn't the original plan).	['DT14', 'DT15', 'DT16']	9781e93e-af03-4e90-8e4e-26311618181d
Art-Protest Arrests	I have been joining protests against climate change where we mutilate artworks but have been arrested multiple times and it's starting to become an issue when I try to find a job. How can I remain true to the causes that I am trying to defend if protesting gets me in trouble?	['DT16']	c45b8194-c26c-4503-9b26-7738665cc066
Study Strolls Backfire	I try to take walks to destress from finals but I keep thinking about the amount of topics I need to study in the next few days and end up more stressed afterwards.	['M2']	f48bb317-cc23-462c-961b-f76279e69f0d
Forced Friendship Facades	I have been wanting to put myself out there more so I've been trying to meet up with friends that I have been neglecting. I try to prepare some talking points to that the conversation doesn't lag and I can appear interested, but I often leave feeling like the conversation was forced and not authentic.	['M4', 'IE6']	63d2426d-bc5b-4317-99a5-264785764d75
Book Club Disconnect	I started a book club with a group of girls my age hoping to have interesting conversations, but they never have any opinions on anything. They are also all connecting over recently getting engaged, so it feels like their only purpose in life is to be somebody's wife, which makes it even harder to feel comfortable around me because that's not who I am.	['M5']	95d8d306-0ce7-4e00-88ad-7e2f57dfdd46
Productivity Overload	I end up super tired at the end of the day but I'm trying to be as productive as possible. I try to listen to educational audiobooks while I walk my dog and stop at the grocery store on my way back. I do this so I can dedicate more hours to my work so I can have a good performance review, but I'm realizing there's no space left for me to relax.	['M6']	4e3d8227-3842-40f4-b7bd-2dcd6dad6159
Physics Partner Fission	I have a physics project and one of my teammates is doing all the calculations wrong so I've been deleting their work and redoing them myself. They have now stopped contributing to the project so I'm doing everything alone.	['M7', 'IE2']	e76707c9-8f2a-40f1-85e7-fcb088f34ea9
Apocalyptic News Blues	Seeing all the recent news about war, and poverty, and global warming has me feeling hopeless, sad, angry. I'm not sure how to be at peace with everything that is happening in the world and I feel helpless.	['M8']	bd68f29c-0ffa-4712-8335-250ac8939311
Overworked and Undervalued	I feel like everyone is always pinging me at work for things and I have a ton of deliverable on top of that. I honestly don't get paid enough for all the work that I do and constantly feel the urge to quit.	['M9']	bafc0994-3cde-4dcf-befd-fddadc638be9
Chore Warring	I just moved in with my girlfriend. It has been a huge change for me because I am used to living alone and keeping my space clean. We both work so I understand she is busy too, but I constantly have to tell her that we need to clean and then she does it, but she looks annoyed while doing it.	['IE1']	cf8a80af-d894-43cd-b7fd-ec5bd232726f
Bridesmaid Budget Woes	I am a bridesmaid for one of my closest friends but she is asking us to buy a dress that is really out of my budget right now. I'm worried that she'll be upset if I tell her this and that it might hurt our friendship.	['IE2']	d18f9122-ce51-4f00-8417-9e8feb3ca7c2
Teen's Academic Struggles	My teenager has been struggling in math and physics and says that I don't understand what that feels like because I work as an engineer. What can I do?	['IE3']	a1d60793-9642-4577-b54f-b9d4632080e2
Safe Dating Dilemma	I met a guy on Hinge and he is saying he wants to hang out and wants me to come over to his place yet. I don't feel comfortable doing that and would prefer to hang out somewhere public.	['IE4', 'IE5']	d61924bd-6539-42a5-9355-78654fb0d1a8
Language Barrier Bashfulness	I am visiting my son in Vancouver and he wants me to meet his new girlfriend. I don't speak the same language as them so I don't see the point in meeting her. I'm worried about just sitting there and being uncomfortable while making them uncomfortable too	['IE7']	fc16bfbe-9089-4931-982d-0493ade7fb79
Missed-Call Miffed	My girlfriend has been on a work trip for the past three weeks and has constantly missed our calls. She just missed one again and I'm seriously considering breaking up with her.	['IE8', 'ER2']	221a7f41-163c-4a8b-aaf7-f234ba2a45a1
Silent Treatment Trauma	I feel upset when my partner freezes me out when they are upset at me. It reminds me of when my dad would do this when I did something to make him upset. I know people need time to regulate when they get angry, but I still cry whenever my partner does this.	['IE3', 'IE9']	fbe11a69-9f69-43bd-9c42-daf0ede449e1
College or Call-It	One of my friends is thinking about quiting college, but I think this would be a mistake. She's worried about failing the upcoming courses because she failed a course in the past and her parents continue to remind her of it. How can I support her?	['IE10']	acad45e1-1e84-488f-8635-1b5297f90289
Late to Date Nights	My girlfriend is always late and it makes it hard to plan for date nights. How can I get her to be ready on time?	['IE11']	6c4d9bbf-0a09-49cb-a0e6-56d7b6d25490
Jealous of Has-It-All Girl	I'm jealous of this girl at school who seems to have everything together: she gets good grades, she's pretty, she has a lot of friends. It seems like she has everything I don't have. How can I stop feeling jealous?	['ER1', 'ER3']	1865e423-3f80-47d1-aceb-40a2aadb94a2
Late Texts, Parent Frets	My daughter sometimes goes out with her friends and I try to call or text her to check in, but she takes forever to respond and I get worried thinking something happend to her.	['ER2']	0f47a204-43d5-4abe-99b7-f84f7a1c6642
Chronically Tardy Fiance	My fiance is always late to our appointments for the wedding. He always picks me up, but it irks me that he is always late and I let him know. Our appointments end up being very awkard because there is a palpable tension between us and I notice our wedding planner getting uncomfortable.	['ER3']	79291088-dd47-4b2d-ab50-8842d972fecb
Mocked for Mingling	I struggle to initiate conversations with others because I'm shy. I recently got together with friends and was very chatty, and one of them mocked me saying 'wow, today I learned you can talk!'. I know they were joking but this really hurt me and made me self-conscious.	['ER4']	6be8cb17-2df6-49bf-b40b-0696bf3458aa
Work Over Workouts	I've been having a really stressful time at work with tight deadlines and massive deliverables. I haven't had time or energy to go to the gym which is how I usually relax and I'm becoming more irritable. I anticipate this will go on for weeks.	['ER5']	ea56a4a9-bb65-436f-be58-2a09a0e8017e
Easing Into Reading	I wanted to pick up the habit of reading. I followed my friends on Goodreads and noticed they all seem to get through a book each week, but I cannot read as fast as them. I feel ashamed because I really wanted to pick this up.	['ER6']	ceaf1278-ac2c-49b3-aa0a-b1c770664bab
Stress-Snacking Setback	I've been having a lot of things to do at school between my extracurriculars and finals. I cope by eating my comfort foods while I'm studying, but my stomach has started to hurt and this adds another setback to an already stressful situation.	['M6', 'ER5', 'ER8']	fc70dcfd-cd2d-4823-9252-1327e040c009
College Dreams Derided	My dad ridiculizes my desire to pursue a college degree. He says that it is pointless because the educational system is controlled by the goverment and it's corrupted, plus I should focus on learning how to tend to others like my mom does so that I can get married. Everytime this happens I feel a strong desire to run away from home and leave everything behind.	['IE2', 'ER9', 'ER10']	2386a9a0-940e-498b-8f63-3b3b9d64fae6
Space Invasion Fury	I told my partner I needed space to calm down after a discussion and she wouldn't let me have my space. She kept nagging me and I got so angry that I hit a wall and now we are not talking. It's been 4 days.	['DT1']	4b693c50-f280-4c25-b22a-5f611669a991
Grandma's Vaccine Veto	My husband always let his mom make decisions about my kid. She was suppose to take my toddler to a doctor's appointment to get his vaccines, but didn't do this because she's anti-vax. I want to confront her about how angry it makes me that she tries to interfere in decisions that me and my partner should make. I'm thinking about calling her right now and ask her to meet with me so I can tell her this.	['DT2']	b3f2566c-34d9-4541-97e8-bfcf57578b02
Grade-A Grievances	No matter how well I do in school, it seems my parents are always asking me to do better. They asked me today how I did in my calculus test and I told them I got an A. They responded asking why I didn't get an A+ and whether someone else in my class got a better grade. This happens all the time and I constantly feel like a failure.	['DT3']	7171fe7b-789b-4190-859f-d1b7a3627559
Restless Day Off	I've been working non-stop and I finally have took a day off, but I can't relax. I feel as if I have to keep doig something and my body feels drained but also I can't shut down.	['ER2', 'DT5']	8c382565-9eed-4776-a9c5-052211de2d1e
Fractured Friendship Fallout	I've been getting on a lot of fights with my best friend recently and it makes me feel extremely upset at myself because I feel as if I failed someone very important and I'm not sure how to recover from this emptiness.	['DT6']	6afdcfdd-0462-4762-ad94-e2b0d8c763d0
One-Sided Friendship	I feel hurt because for a while now I've been putting a lot of effort into a person I was trying to build a friendship with but they are always 'busy' whenever I aske them if they want to hang out. I think I'm starting to realize that they don't really care about me, but it still upsets me.	['DT7']	6d40cabd-9342-4881-bc41-23c2f1b7ddce
Beloved Pet's Passing	I've had my dog for 12 years now and the vet recently told me that they will need to put him down. This is extremely upsetting because my dog has been the only constant in my life for the past 12 years so I feel like I'm losing a big part of myself.	['DT3', 'DT6', 'DT7', 'DT8']	19b10c2d-9049-45fd-ad31-1ce7b12fd067
Hesitant Hiker	For my friend's birthday they are asking me to go on a hike but I really dislike hiking. I'm not an outdoors person. At the same time, I don't want them to feel like I don't care about them.	['DT9']	7c4579b1-d477-43bb-8b13-e1ca3a4df166
Shutter-Shy Bridesmaid	For a bachelorette, the bride has asked us to do a photoshoot. I'm honestly really camera shy so I don't want to do this.	['DT10']	cf0922cb-9a5c-4a38-bf02-186e07012046
Ski Trip Trepidations	My girlfriend wants me to go skiing with her and her friends although I've never done that and I'm worried about going.	['DT10']	b7e3a2fe-4022-45cb-874a-1831506cb5b0
Special Needs Parenting	My kid is autistic and sometimes I feel like it's unfair that I have to deal with this burden. I love my kid but it's hard.	['DT11']	b9390e0b-e970-4470-a5ca-909e35d76584
Stopping Self-Harm	I told my friend that I've been self-harming and they made me promise to stop. Right now I'm feeling extremely anxious and I don't think I can keep my promise.	['DT12']	c9fc5368-7c41-4051-87eb-96dd9e25c9d8
Touch of Social Flu	I've been working overtime because I feel like I have a ton of deliverables, but recently I noticed that I've been telling my friends that I feel sick to avoid hanging out with them so I can keep working. Is this a problem or am I right in doing this?	['DT13']	dec9fd85-2340-461a-833b-651ae37ee1d4
Sick of Sedentary	My partner and I are pretty sedentary. The doctors have told me that I need to start moving and eating healthier or I will have some serious health issues, but my partner never supports me in this. She keeps buying junk food and never wants to go out on walks with me so that I can start moving.	['DT15']	1551bb94-6070-498f-a011-9407ed545c45
Exam Theft Auto	I was running late for my final so instead of taking the bus, I took my brother's car. He had a plan to go out with friends and was really upset with me because he had to cancel on them, but I think my final was more important. How do I resolve this?	['IE9']	6ac0e128-495a-4244-b60e-642e11cca7ea
Reading Pace Pressure	I wanted to pick up the habit of reading. I followed my friends on Goodreads and noticed they all seem to get through a book each week, but I cannot read as fast as them. I read maybe 1-2 pages each day. I feel ashamed because I really wanted to pick this up.	['IE10']	711d32a0-4594-498f-9a2b-5f93f2346da7
Looming Layoff	There have been rounds of layoffs happening at my company and I'm pretty sure I will be laid off pretty soon. This is super stressful because I recently bought a house and I'm working on a visa.	['ER4', 'DT7']	31ee6726-f6d0-453f-9482-4e36b8dbdc04
Surrendering to Sweat	I've been following workout routines online but I can never finish them and I'm thinking about giving up on exercising.	['ER6']	feed36a3-d156-49b7-8f8d-d174472daa0d
