skill_id,skill_name,module_focus,module_name,category_name,skill_desc,use_regex
DT2,Pros and Cons,Acceptance,Distress Tolerance,Crisis Survival Skills,"- The ""Pros and Cons"" skill in the Distress Tolerance module of DBT is a cognitive strategy for evaluating the positive and negative outcomes of a particular action, especially in response to crisis situations.
- It involves listing the advantages (pros) and disadvantages (cons) of acting on impulsive urges as well as the pros and cons of resisting these urges and tolerating the distress.
- The skill aims to help individuals recognize that tolerating distress and accepting reality are more beneficial in the long term than acting on impulsive behaviors that reject reality.
- In a session, this skill might be identified by the therapist asking the client to explicitly list out or discuss the potential consequences of their actions in a crisis scenario.",TRUE
DT3,TIP Body Chemistry,Acceptance,Distress Tolerance,Crisis Survival Skills,"- The ""TIP"" skill in the Distress Tolerance module of DBT stands for Temperature, Intense exercise, Paced breathing, and Paired muscle relaxation.
- It is designed to rapidly alter body chemistry to reduce intense emotional arousal by engaging the parasympathetic nervous system and calming the sympathetic nervous system.
- In a session, this skill might be identified by a therapist instructing a client to hold their breath and then plunge their face into cold water (Temperature), engage in a brief burst of intense physical activity (Intense exercise), practice slow, deep breaths (Paced breathing), or tense and then relax their muscles in sequence (Paired muscle relaxation).",TRUE
DT4,Distracting with Wise Mind ACCEPTS,Acceptance,Distress Tolerance,Crisis Survival Skills,"- The ""Distracting with Wise Mind ACCEPTS"" skill in the Distress Tolerance module of DBT involves using various strategies to distract oneself from distressing emotions or situations.
- The acronym ACCEPTS stands for Activities, Contributing, Comparisons, Emotions, Pushing away, Thoughts, and Sensations, which are different methods to divert attention away from emotional pain.
- This skill is designed to temporarily reduce emotional suffering by engaging in alternative activities or thoughts until the individual is better able to address the issue.
- In a session, this skill might be identified by a therapist suggesting the client engage in one or more of the items within ""ACCEPTS"" to help manage intense emotions.",TRUE
DT5,Self-Soothing Through the Senses,Acceptance,Distress Tolerance,Crisis Survival Skills,"- The ""Self-Soothing Through the Senses"" skill in the Distress Tolerance module of DBT encourages individuals to engage in comforting activities that appeal to their five senses.
- This skill is designed to help individuals cope with distress by focusing on pleasant sensory experiences such as looking at beautiful scenery, listening to calming music, or enjoying a fragrant scent.
- The body scan meditation is an example of a self-soothing activity that involves touch and proprioceptive awareness, as it guides individuals to pay attention to sensations in different parts of their body.
- In a session, this skill might be identified by the therapist suggesting the client think of or engage in activities that provide a soothing experience for each of their senses.",TRUE
DT6,IMPROVE the Moment,Acceptance,Distress Tolerance,Crisis Survival Skills,"- The ""IMPROVE the Moment"" skill in the Distress Tolerance module of DBT is designed to help individuals cope with crisis situations by improving the quality of the moment.
- The acronym IMPROVE stands for Imagery, Meaning, Prayer, Relaxing actions, One thing in the moment, Vacation, and Encouragement.
- Each component of the IMPROVE acronym represents a different strategy that can be used to reduce distress and create a sense of calm or relief.
- In a session, this skill might be identified by a therapist suggesting the client engage in one or more of the items within ""IMPROVE."" ",TRUE
DT7,Radical Acceptance,Acceptance,Distress Tolerance,Reality Acceptance Skills,"- The ""Radical Acceptance"" skill in the Distress Tolerance module of Dialectical Behavior Therapy DBT is about fully accepting reality as it is, without resisting or fighting against it.
- It requires recognizing and coming to terms with the facts of a situation, even if they are painful or difficult to accept.
- Radical Acceptance is not the same as approving of the situation, nor does it mean that one cannot work toward change in the future.
- In a session, this skill might be identified by a therapist encouraging a client to acknowledge their current circumstances without judgment and to stop struggling against what cannot be changed.",TRUE
DT8,Turning the Mind,Acceptance,Distress Tolerance,Reality Acceptance Skills,"- The ""Turning the Mind"" skill in the Distress Tolerance module of DBT involves the intentional choice to move toward acceptance of reality.
- It is not the act of full acceptance but rather the initial step in the direction of accepting an uncomfortable or difficult reality.
- This skill is characterized by repeated efforts, as it often requires multiple attempts to genuinely turn one's mind toward acceptance.
- In a session, it might be identified by a therapist asking a client to consciously choose to accept a situation each time they find themselves resisting or struggling against reality.",TRUE
DT9,Willingness,Acceptance,Distress Tolerance,Reality Acceptance Skills,"- The ""Willingness"" skill in the Distress Tolerance module of DBT involves adopting an open and accepting attitude towards the present moment and life's challenges, rather than trying to control or resist them.
- It is characterized by a conscious choice to participate fully in life and to say ""yes"" to experiences as they come, without trying to manipulate or avoid them.
- This skill contrasts with ""willfulness,"" which is the act of refusing to accept reality, being rigid, and attempting to impose one's will onto situations.
- In a session, willingness might be identified by a therapist encouraging a client to accept a situation as it is and to engage with it without resistance, often using phrases like ""saying yes to the mystery of being alive.""",TRUE
DT10,Half-Smiling and Willing Hands,Acceptance,Distress Tolerance,Reality Acceptance Skills,"- ""Half-Smiling"" is a Distress Tolerance skill in DBT that involves relaxing the facial muscles and slightly upturning the corners of the lips to foster a sense of acceptance.
- ""Willing Hands"" is a Distress Tolerance skill in DBT that involves unclenching hands, placing palms up, and relaxing fingers, symbolizing openness and non-resistance to reality.
- These skills are based on the idea that adopting certain physical postures can influence emotions and promote a more accepting attitude.
- In a session, these skills might be identified by a therapist instructing a client to adopt these physical positions to help them cope with difficult situations without trying to change them.",TRUE
DT11,Mindfulness of Current Thoughts,Acceptance,Distress Tolerance,Reality Acceptance Skills,"- The ""Mindfulness of Current Thoughts"" skill in the Distress Tolerance module of DBT focuses on observing thoughts as mere events in the mind rather than as reflections of reality.
- It encourages clients to view thoughts as neural activities or sensations, which helps in creating a separation between themselves and their thoughts, reducing reactivity.
- This skill involves allowing thoughts to come and go without getting attached to them or believing them to be true.",TRUE
DT12,Dialectical Abstinence,Acceptance,Distress Tolerance,Supplementary Addiction Skills,"- ""Dialectical Abstinence"" is a Distress Tolerance skill in DBT that combines an abstinence approach with harm reduction strategies to manage substance dependence.
- It aims to prevent lapses in abstinence and effectively manage them if they occur to avoid a full-blown relapse, drawing on principles from the cognitive-behavioral relapse prevention model.
- In a session, it might be identified by discussions of strategies to maintain abstinence, cope with potential lapses, and reduce the negative impact of any lapses that do occur.",TRUE
DT13,Clear Mind,Acceptance,Distress Tolerance,Supplementary Addiction Skills,"- ""Clear Mind"" is a skill in the Distress Tolerance module of DBT that is specifically tailored for individuals with drug dependence.
- It represents a balanced state between ""addict mind,"" which is controlled by addiction, and ""clean mind,"" which is abstinent but may underestimate the risk of relapse.
- The skill emphasizes maintaining abstinence while being fully aware of the potential for relapse, thus promoting a realistic and vigilant approach to recovery.
- In a session, it might be identified by discussions of finding a middle path between complacency in recovery and the compulsive behaviors associated with addiction.",TRUE
DT14,Community Reinforcement,Acceptance,Distress Tolerance,Supplementary Addiction Skills,"- The ""Community Reinforcement"" skill in the Distress Tolerance module of DBT is designed to help individuals with drug dependence by increasing positive reinforcement for abstinence.
- It involves identifying and engaging in activities within the community that are rewarding and support sobriety, thereby reducing the appeal of addictive behaviors.
- In a session, it might be identified by discussions or exercises focused on enhancing the client's involvement in non-substance-related community activities that provide a sense of fulfillment or joy.",TRUE
DT15,Burning Bridges and Building New Ones,Acceptance,Distress Tolerance,Supplementary Addiction Skills,"- The ""Burning Bridges"" skill in the Distress Tolerance module of DBT involves actively removing triggers or cues that may lead to engaging in addictive behaviors.
- The ""Building New Ones"" skill complements this by encouraging the creation of new, positive experiences and mental images that can help counteract the urges associated with addiction.
- In a session, these skills might be identified by discussions or activities focused on identifying and planning to remove addiction triggers, as well as developing healthy alternatives.",TRUE
DT16,Alternate Rebellion and Adaptive Denial,Acceptance,Distress Tolerance,Supplementary Addiction Skills,"- ""Alternate Rebellion"" is a Distress Tolerance skill in DBT that encourages individuals to find safer ways to express rebellion, rather than engaging in harmful addictive behaviors.
- ""Adaptive Denial"" is another Distress Tolerance skill that involves temporarily denying or shutting out urges for addictive behaviors, sometimes by believing that the behavior is not possible.
- In a session, these skills might be identified by discussing alternative, non-harmful actions to take when feeling the urge to rebel or practicing ways to deny the possibility of engaging in an addictive behavior.",TRUE
