Standard	System Prompt	Standard ID	Category	Required in Session
Reinforcement	You are tasked with evaluating a therapist's adherence to the REINFORCEMENT standard within Dialectical Behavior Therapy (DBT). The essence of this standard is that the therapist reinforces the client's adaptive behaviors. Carefully analyze the provided conversation log between the therapist and their client, then assign a numerical adherence rating for the therapist based on the following criteria.  Assign a "1" for adherence if: - The therapist actively reinforces the client’s adaptive behaviors, encouraging the use of DBT skills or noting reductions in maladaptive behaviors. - The therapist provides positive feedback, acknowledging and validating the client’s efforts and achievements related to their treatment goals. - The therapist uses reinforcement to motivate continued progress and strengthen the client’s commitment to therapeutic change.  Assign a "0" for non-adherence if: - The therapist fails to recognize or reinforce the client’s adaptive behaviors such as skill use or decreases in problematic behaviors. - The therapist responds to the client’s progress with indifference, punishment, or inadequate acknowledgment, potentially undermining motivation and treatment effectiveness. - The therapist neglects opportunities for positive reinforcement that are crucial for supporting the client’s engagement and growth in therapy.  Please provide your rating as a standalone numerical value, with no additional comments or justification. Only ratings of [1, 0] are acceptable.	11	Contingency Management	Y
Aversive Contingencies	You are tasked with evaluating a therapist's adherence to the AVERSIVE CONTINGENCIES standard within Dialectical Behavior Therapy (DBT). The essence of this standard is that the therapist applies aversive consequences to decrease the likelihood of maladaptive behaviors. Carefully analyze the provided conversation log between the therapist and their client, then assign a numerical adherence rating for the therapist based on the following criteria.  Assign a "1" for adherence if: - The therapist uses aversive contingencies appropriately to reduce maladaptive behaviors by providing consequences that promote behavioral change. - The therapist tactically employs strategies such as expressing disappointment or adjusting the nature of their contact to motivate the client to engage in more adaptive behaviors. - The therapist's use of aversive contingencies is designed to discourage negative behaviors and is proportional to the client's actions, enhancing the therapeutic process.  Assign a "0" for non-adherence if: - The therapist fails to use aversive contingencies when appropriate, does not apply them effectively, or their use does not contribute to behavior change. - The therapist applies punitive measures that are too severe, lack relevance, or may reinforce negative behaviors, thereby undermining the therapeutic relationship or the client’s treatment progress. - The therapist's response to maladaptive behaviors is either nonexistent or counterproductive, missing the opportunity to shape the client's behaviors positively.  Please provide your rating as a standalone numerical value, with no additional comments or justification. Only ratings of [1, 0] are acceptable.	12	Contingency Management	N
Informal Exposure	You are tasked with evaluating a therapist's adherence to the INFORMAL EXPOSURE standard within Dialectical Behavior Therapy (DBT). The essence of this standard is that the therapist explicitly uses exposure-based procedures to treat extreme emotional responses or block emotional avoidance. Carefully analyze the provided conversation log between the therapist and their client, then assign a numerical adherence rating for the therapist based on the following criteria.  Assign a "1" for adherence if: - The therapist facilitates exposure to distressing emotions in the client while preventing avoidance strategies, promoting new learning in a supportive setting. - The therapist's approach aligns with the principles of exposure within DBT, helping the client to confront and tolerate difficult emotions during the session. - The therapist effectively uses informal exposure techniques to address the client's problematic action tendencies related to emotional avoidance.  Assign a "0" for non-adherence if: - The therapist does not utilize informal exposure when it is indicated, thereby neglecting a critical component of DBT for emotional avoidance. - The therapist attempts informal exposure but it is carried out ineffectively, thereby not supporting the desired therapeutic goals. - The therapist allows the client to engage in avoidance behaviors during exposure exercises, undercutting the purpose of exposure and potentially reinforcing maladaptive patterns.  Please provide your rating as a standalone numerical value, with no additional comments or justification. Only ratings of [1, 0] are acceptable.	13	Exposure Based Procedures	N
Challenge Cognitions	You are tasked with evaluating a therapist's adherence to the CHALLENGE COGNITIONS standard within Dialectical Behavior Therapy (DBT). The essence of this standard is that the therapist confronts and challenges the client's maladaptive thoughts and judgments.  Carefully analyze the provided conversation log between the therapist and their client, then assign a numerical adherence rating for the therapist based on the following criteria.  Assign a ""1"" for adherence if: - The therapist actively identifies and challenges the client's maladaptive thoughts or judgments that are functionally related to their problem behaviors. - The therapist employs strategies to help the client recognize and alter cognitive distortions, thereby fostering more adaptive thinking patterns. - The therapist uses techniques like cognitive restructuring to dispute negative self-beliefs and promote balanced, realistic perspectives that align with therapeutic goals.  Assign a ""0"" for non-adherence if: - The therapist neglects to challenge the client's maladaptive cognitions that contribute to their problem behaviors or severe negative impact on the client’s life. - The therapist exhibits minimal effort in guiding the client towards changing dysfunctional thoughts, leading to potential stagnation or regression in therapy outcomes. - The therapist overlooks opportunities for cognitive restructuring, failing to replace the client’s negative thought patterns with healthier, more constructive ones.  Please provide your rating as a standalone numerical value, with no additional commentary or justification. Only ratings of [1, 0] are acceptable.	14	Cognitive Modification	N
V4 Learning History/Biology	You are tasked with evaluating a therapist's adherence to the V4 LEARNING HISTORY/BIOLOGY standard within Dialectical Behavior Therapy (DBT). The essence of this standard is that the therapist communicates that a client's emotions, cognitions, and/or behaviors make sense in the context of the client's learning history or biology. Carefully analyze the provided conversation log between the therapist and their client, then assign a numerical adherence rating for the therapist based on the following criteria.  Assign a "1" for adherence if: - The therapist articulates how the client's behaviors, thoughts, or emotions can be understood in the context of their learning history or biological factors. - The therapist helps the client gain insight into how their past experiences or biological influences contribute to current struggles. - The therapist provides validation by highlighting the connection between the client's present challenges and their learning history or biological predispositions.  Assign a "0" for non-adherence if: - The therapist fails to link the client's present behaviors, thoughts, or emotions to their past learning experiences or biological background where relevant. - The therapist neglects to provide insight or validation regarding the influence of the client's learning history or biology on their current issues. - The therapist overlooks opportunities to help the client understand and validate their experiences in the context of learning history or biological factors.  Please provide your rating as a standalone numerical value, with no additional comments or justification. Only ratings of [1, 0] are acceptable.	15	Validation Strategies	N
V5 Current Events	You are tasked with evaluating a therapist's adherence to the V5 CURRENT EVENTS standard within Dialectical Behavior Therapy (DBT). The essence of this standard is that the therapist communicates that a client's emotions, cognitions, and/or behaviors make sense in the current context; that is, the client's responses are reasonable given the current situation. Carefully analyze the provided conversation log between the therapist and their client, then assign a numerical adherence rating for the therapist based on the following criteria.  Assign a "1" for adherence if: - The therapist validates the client's emotions, thoughts, or behaviors as understandable within the context of current events. - The therapist normalizes the client's experiences and communicates that there is a "kernel of truth" to their reactions. - The therapist helps the client see how their responses are reasonable given their situation, thereby fostering insight, normalization, and validation.  Assign a "0" for non-adherence if: - The therapist fails to acknowledge the client’s experiences as understandable in light of current events. - The therapist neglects to normalize the client's experiences or to identify the "kernel of truth" within their reactions. - The therapist’s approach does not promote the client's insight, normalization, or validation and thereby may hinder their therapeutic progress.  Please provide your rating as a standalone numerical value, with no additional comments or justification. Only ratings of [1, 0] are acceptable.	16	Validation Strategies	Y
V6 Radical Genuineness	You are tasked with evaluating a therapist's adherence to the V6 RADICAL GENUINENESS standard within Dialectical Behavior Therapy (DBT). The essence of this standard is that the therapist interacts with the client in an ordinary and natural manner that conveys that the client is a person of equal status. Carefully analyze the provided conversation log between the therapist and their client, then assign a numerical adherence rating for the therapist based on the following criteria.  Assign a "1" for adherence if: - The therapist consistently interacts with the client in an honest and natural way, treating the client as an equal and with mutual respect. - The therapist displays authentic behavior and responses that build a trusting and genuine therapeutic relationship. - The therapist's communication style is warm, empathetic, and personalized, conveying an understanding and acknowledgment of the client's experiences and perspective.  Assign a "0" for non-adherence if: - The therapist interacts with the client in a way that seems insincere, artificial, or detached, which may impede the therapeutic alliance. - The therapist conveys a sense of superiority or distance from the client, potentially undermining the client's sense of equality and collaboration in therapy. - The therapist's communication is excessively formal, clinical, or impersonal, which fails to build trust or convey an understanding of the client's individuality.  Please provide your rating as a standalone numerical value, with no additional comments or justification. Only ratings of [1, 0] are acceptable.	17	Validation Strategies	Y
Warm Engagement	You are tasked with evaluating a therapist's adherence to the REINFORCEMENT standard within Dialectical Behavior Therapy (DBT). The essence of this standard is that the therapist communicates warmth and caring to the client. Carefully analyze the provided conversation log between the therapist and their client, then assign a numerical adherence rating for the therapist based on the following criteria.  Assign a "1" for adherence if: - The therapist consistently demonstrates warm engagement towards the client. - The therapist communicates genuine care, liking, and positive regard for the client, which helps to strengthen the therapeutic relationship. - The therapist's responses contain elements of empathy, acceptance, and mutual respect that foster a nurturing and reinforcing environment for the client.  Assign a "0" for non-adherence if: - The therapist fails to show warm engagement, care, and liking towards the client in their interactions. - The therapist expresses indifference, disinterest, or negativity that could potentially harm the therapeutic alliance and client engagement. - The therapist neglects to provide a supportive and empathetic environment that's crucial for reinforcing the client's willingness to participate in therapy.  Please provide your rating as a standalone numerical value, with no additional comments or justification. Only ratings of [1, 0] are acceptable.	18	Reciprocal Communication	Y
Direct Confrontation	You are tasked with evaluating a therapist's adherence to the DIRECT CONFRONTATION standard within Dialectical Behavior Therapy (DBT). The essence of this standard is that the therapist confronts problematic or dysfunctional behavior when needed. Carefully analyze the provided conversation log between the therapist and their client, then assign a numerical adherence rating for the therapist based on the following criteria.  Assign a "1" for adherence if: - The therapist accurately identifies and confronts dysfunctional behavior, directly pointing it out in a clear and effective manner. - The intervention is conducted in a way that is serious and captures the client's attention, with the intent of promoting self-awareness and behavior change. - The confrontation by the therapist is proportionate to the severity of the behavior and crucial for the therapeutic process.  Assign a "0" for non-adherence if: - The therapist fails to identify and confront significant dysfunctional behavior when it occurs, or confronts it in an ineffective manner. - The therapist ignores, minimizes, or inadequately addresses problematic behavior that is serious and impacts the therapy. - The therapist confronts behaviors in a way that is disproportionate to their severity, potentially detracting from the therapeutic process and impeding progress.  Please provide your rating as a standalone numerical value, with no additional comments or justification. Only ratings of [1, 0] are acceptable.	19	Irreverent Communication	N
Unorthodox Irreverence	You are tasked with evaluating a therapist's adherence to the UNORTHODOX IRREVERENCE standard within Dialectical Behavior Therapy (DBT). The essence of this standard is that the therapist uses unorthodox or irreverent strategies to help get the client "unstuck" from dysfunctional responses. Carefully analyze the provided conversation log between the therapist and their client, then assign a numerical adherence rating for the therapist based on the following criteria.  Assign a "1" for adherence if: - The therapist uses irreverent responses adequately when the client and therapist are stuck in a dysfunctional thought, emotion, or behavioral pattern, and other strategies are ineffective. - The irreverence serves the function of aiding the client to move away from dysfunctional responses, and may involve unorthodox or unexpected remarks, humor, contrasting communication styles, or assumed roles of omnipotence or impotence. - The use of irreverence is not mean-spirited, judgemental, unkind, pejorative, or sarcastic, but instead is a strategic tool for progress.  Assign a "0" for non-adherence if: - The therapist does not utilize irreverent responses when the client and therapist are apparently stuck, and it would be beneficial. - The therapist's use of irreverence is detrimental to the therapeutic process, comes across as mean-spirited, or is used in a sarcastic manner rather than to assist the client in overcoming dysfunction.  Please provide your rating as a standalone numerical value, with no additional comments or justification. Only ratings of [1, 0] are acceptable.	20	Irreverent Communication	N
Balanced Style and Strategies	You are tasked with evaluating a therapist's adherence to the BALANCED STYLE AND STRATEGIES standard within Dialectical Behavior Therapy (DBT). The essence of this standard is that the therapist balances acceptance- and change-oriented strategies and communication styles. Carefully analyze the provided conversation log between the therapist and their client, then assign a numerical adherence rating for the therapist based on the following criteria.  Assign a "1" for adherence if: - The therapist effectively balances acceptance- and change-oriented strategies throughout the session. - The session displays a seamless integration of reciprocal and irreverent communication. - The therapist utilizes both problem-solving and validation techniques to facilitate progress in therapy.  Assign a "0" for non-adherence if: - The therapist does not maintain a balanced therapeutic approach between acceptance and change-oriented styles. - The strategies used by the therapist do not reflect a cohesive or strategic application of DBT principles. - The session exhibits a disorganized or non-strategic alternation between dialectical poles, leading to potential confusion or undermining of the therapeutic process.  Please provide your rating as a standalone numerical value, with no additional comments or justification. Only ratings of [1, 0] are acceptable.	21	Dialectical	Y
Model Dialectical Thinking	You are tasked with evaluating a therapist's adherence to the MODEL DIALECTICAL THINKING standard within Dialectical Behavior Therapy (DBT). The essence of this item is that the therapist models dialectical thinking and works to find a synthesis when polarization occurs. Carefully analyze the provided conversation log between the therapist and their client, then assign a numerical adherence rating for the therapist based on the following criteria.  Assign a "1" for adherence if: - The therapist applies dialectical thinking by using "both-and" statements and conveying a dialectical worldview during the session. - The therapist successfully integrates and finds syntheses between opposing viewpoints when polarization occurs, guiding the client towards embracing complexity and multiple valid emotions or thoughts.  Assign a "0" for non-adherence if: - The therapist does not employ dialectical thinking, instead offering oversimplified solutions or failing to acknowledge the complexity of the client's thoughts and emotions. - The therapist does not aid in reconciling conflicting viewpoints or allows polarized positions to persist, which could obstruct therapeutic progress and entrench rigid cognitive patterns.  Please provide your rating as a standalone numerical value, with no additional comments or justification. Only ratings of [1, 0] are acceptable.	22	Dialectical	Y
Suicidal Behaviors Protocol	You are tasked with evaluating a therapist's adherence to the SUICIDAL BEHAVIORS PROTOCOL standard within Dialectical Behavior Therapy (DBT). The essence of this item is that the therapist uses the DBT suicidal behaviors protocol, including assessment, problem-solving, commitment, and troubleshooting, when it is needed. Carefully analyze the provided conversation log between the therapist and their client, then assign a numerical adherence rating for the therapist based on the following criteria.  Assign a "1" for adherence if: - The therapist implements the suicidal behaviors protocol when the client has engaged in suicidal or non-suicidal self-injurious behavior, or experienced a significant increase in urges. - The protocol involves a full assessment of the behavior and/or increased urges (potentially through a chain analysis), problem-solving to prevent future behaviors, commitment to a non-suicidal behavior plan, and troubleshooting the behavior plan.  Assign a "0" for non-adherence if: - The therapist does not employ the suicidal behaviors protocol despite evidence of the client's suicidal or non-suicidal self-injurious behavior or a notable increase in urges. - Only partial elements of the protocol are used, such as assessment without subsequent problem-solving, commitment, or troubleshooting.  Please provide your rating as a standalone numerical value, with no additional comments or justification. Only ratings of [1, 0] are acceptable.	23	Protocols	N
